location,sex,population2010,meanpopulation,population2011
Arronches,H,1516,1503,1489
Arronches,M,1617,1593,1569
Avis,HM,4565,4542,4518
Avis,H,2173,2162,2151
Avis,M,2392,2380,2367
Campo Maior,HM,8465,8454,8443
Campo Maior,H,4106,4100,4093
Campo Maior,M,4359,4355,4350
Castelo de Vide,HM,3420,3398,3375
Castelo de Vide,H,1634,1624,1614
Castelo de Vide,M,1786,1774,1761
Crato,HM,3733,3693,3653
Crato,H,1737,1718,1699
Crato,M,1996,1975,1954
Elvas,HM,23099,23074,23049
Elvas,H,11108,11079,11050
Elvas,M,11991,11995,11999
